IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,Value,NumericValue,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,Title,ParentDimension,ParentCode,ParentTitle
MALARIA_1STLINE_TREATED,COUNTRY,GNB,YEAR,2020,15290029.20%,152900.2919,2022-02-10T13:20:18Z,2020,01-01-20,31-12-20,Guinea-Bissau,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,NAM,YEAR,2020,13 636,13636.0,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20,Namibia,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,NAM,YEAR,2018,31 886,31886.0,2022-02-10T13:20:17Z,2018,01-01-18,31-12-18,Namibia,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,NAM,YEAR,2019,3 404,3404.0,2022-02-10T13:20:17Z,2019,01-01-19,31-12-19,Namibia,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,NER,YEAR,2018,2 891 780,2891780.0,2022-02-10T13:20:16Z,2018,01-01-18,31-12-18,Niger,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,NER,YEAR,2019,3 031 506,3031506.0,2022-02-10T13:20:17Z,2019,01-01-19,31-12-19,Niger,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,NER,YEAR,2020,3 454 246,3454246.0,2022-02-10T13:20:17Z,2020,01-01-20,31-12-20,Niger,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,NGA,YEAR,2018,15 853 741,15853741.0,2022-02-10T13:20:16Z,2018,01-01-18,31-12-18,Nigeria,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,NGA,YEAR,2020,19 902 369,19902369.0,2022-02-10T13:20:18Z,2020,01-01-20,31-12-20,Nigeria,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,NGA,YEAR,2019,21 252 650,21252650.0,2022-02-10T13:20:18Z,2019,01-01-19,31-12-19,Nigeria,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,RWA,YEAR,2019,3 566 544,3566544.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Rwanda,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,RWA,YEAR,2018,1 610,1610.0,2022-02-10T13:20:18Z,2018,01-01-18,31-12-18,Rwanda,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,RWA,YEAR,2020,1 045 546,1045546.0,2022-02-10T13:20:18Z,2020,01-01-20,31-12-20,Rwanda,REGION,AFR,Africa
